ID,Review.ID,Date,Title,Source.Name,Related,Sellers,Buyers,Brokers,Surgery
8536,1884,7/18/2016,COPS ON LOOKOUT - Donor who wasn't paid Rs 10L blew lid off scam,Times of India (Electronic Edition),1,India,India,India,India
8702,1895,8/1/2016,Anand kidney selling racket: Doctor arrested from Delhi,The Times of India (TOI),1,India,India,India,India
8760,1914,8/10/2016,"Mumbai hospital CEO, four medicos nabbed for kidney racket So far, a total of 15 persons (including the five medicos) have been arrested in the case which first came to light last month at the hospital.",Indian Express,1,India,India,India,India
8791,1929,8/13/2016,A kidney saver from the land of organ seller,Hindustan Times,1,India,"India, Myanmar",India,India
8813,1937,8/18/2016,Hiranandani kidney trafficking case: Bail for 5 doctors,Afternoon Voice (India),1,India,India,India,India
8831,1940,8/20/2016,Man behind 60 illegal kidney transplants held,The Times of India (TOI),1,India,India,India,India
8897,1942,8/25/2016,How much does a kidney cost in Iran ?,Arutz Sheva,1,"Iran, Israel","Iran, US, Israel","Iran, Israel","Iran, Israel, US"
8954,1946,9/5/2016,Organ racket: Man caught trying to buy kidney dies,Times of India (Electronic Edition),1,India,India,India,India
8996,1949,9/13/2016,Kidney racket: Anand police's authority challenged in HC,Mirror Publications,1,India,India,India,India
9173,1958,10/12/2016,"Your kidney will regrow, whistleblower was told",Hindustan Times,1,India,India,India,India
9174,1959,10/12/2016,Kidney racket: Five Hiranandani doctors chargesheeted for criminal conspiracy,The Times of India (TOI),1,India,India,India,India
9283,1970,10/27/2016,Israel Special Investigations Unit busts organ trafficking ring,Jpost.com (The Jerusalem Post online edition),1,Israel,"Israel, Turkey","Israel, Turkey, Ukraine",Turkey
9359,1978,11/10/2016,Human organ trading racket busted at private clinic in Rawalpindi,Daily The Post,1,Pakistan,Pakistan,Pakistan,Pakistan
9461,1982,11/21/2016,"Syria : Coroner's Office - Body Organs of Over 15,000 Syrians Sold in 6 Years",Thai News Service,1,Iraq,Turkey,"Turkey, Lebanon, Syria, Iraq","Syria, Iraq"
9682,1991,12/24/2016,"Despite Efforts, India Remains An Easy Market For Illegal Organ Trade",Youth Ki Awaaz,1,"India, Sri Lanka, Iran",India,"India, Sri Lanka, Iran",India
9686,1993,12/26/2016,2 charged with running international organ traffic ring,The Times of Israel,1,Soviet Union,Israel,Israel,"Turkey, Bulgaria, Thailand, Philippines"
9700,1996,12/30/2016,Kosovo court orders retrial of men convicted of organ trafficking,Channel NewsAsia,1,"Turkey, Soviet Union",Israel,"Kosovo, Turkey, Israel",Kosovo
10035,2014,2/22/2017,How You Can Help Stop The Theft And Trafficking Of Organs In India,Youth Ki Awaaz,1,India,India,India,"India, Singapore, Belgium"
10404,2024,4/16/2017,"Kidney 'donor' fails to find guarantor, back in jail",The Times of India (TOI),1,India,India,India,India
10419,2025,4/19/2017,Experts call for international efforts against organ tourism,Global Times (China),1,Syria,"China, Egypt, Pakistan","China, Australia, Egypt, Pakistan","China, Egypt, Pakistan"
10582,2042,5/2/2017,Two Omanis arrested in illegal kidney trade racket,ArabianBusiness.com,1,Pakistan,Oman,Pakistan,Pakistan
10593,2047,5/4/2017,Organ trade raid,Dawn (Pakistan),1,Pakistan,Oman,"Pakistan, Oman",Pakistan
10604,2049,5/5/2017,Organ trade,The News International,1,Pakistan,Oman,Pakistan,Pakistan
10696,2059,5/11/2017,Agent involved in illegal kidney sale in Lahore sent on physical remand,The Frontier Post (AsiaNet),1,Oman,Oman,Pakistan,Pakistan
10819,2079,5/26/2017,Kidney racket busted in capital,Hindustan,1,India,India,India,India
10824,2082,5/27/2017,Police arrest four members of kidney selling racket,DNA,1,India,India,India,India
10887,2092,6/8/2017,It's not always wrong to pay people for their organs,Global English (Middle East and North Africa Financial Network),1,"Pakistan, India","USA, Pakistan, India","Pakistan, India, United States","Pakistan, India, US"
10891,2093,6/9/2017,Profiteering in saving lives,The Pioneer (India),1,India,"America, Israel, Canada, United Kingdom 
","India, Nepal, Sri Lanka, Indonesia",India
10990,2100,6/27/2017,"Wealth, poverty propping up Pakistan 's illegal kidney trade",Newstex Blogs,1,Pakistan,"Oman, United Kingdom, Oman, United Kingdom","Pakistan, Oman","Pakistan, Oman, United Kingdom"
11186,2103,7/21/2017,Hiranandani Hospital kidney racket: Three suspects to be questioned,Indian Express,1,India,India,India,India
11237,2104,7/28/2017,Online kidney racket uses city hospital name for biz,The Times of India (TOI),1,India,India,India,India
11451,2107,8/24/2017,Hyderabad Police yet to grill Lankan doctor in kidney racket,Global English (Middle East and North Africa Financial Network),1,India,India,India,"Sri Lanka, India"
11519,2110,9/9/2017,Cops to tell Cairo hosp to stall kidney transplants,The Times of India (TOI),1,India,Egypt,"India, Egypt",Egypt
11525,2113,9/11/2017,"'12 patients, donors went to Cairo for kidney transplants'",The Times of India (TOI),1,India,"India, Egypt","India, Egypt","Egypt, India"
11674,2119,9/26/2017,FIA arrests illegal kidney trade racket from Nowshera,Global English (Middle East and North Africa Financial Network),1,"Afghanistan, Sindh, Pakistan, Sindh, Pakistan",Pakistan,Pakistan,Pakistan
11678,2120,9/27/2017,Illegal kidney transplant for Phagwara mayor's daughter at Rs. 40L,Global English (Middle East and North Africa Financial Network),1,"India, India","India, Egypt","India, Egypt","Egypt, India"
11752,2123,10/8/2017,Remand of suspects in illegal kidney transplant case extended,Dawn (Pakistan),1,"Pakistan, Afghanistan",Afghanistan,Pakistan,Pakistan
11796,2126,10/17/2017,Girl saved from selling kidney for marriage,Asian News International (ANI),1,India,India,India,India
11839,2133,10/24/2017,A timely warning on the organs trade,The Sun (Nigeria),1,"Nigeria, Egypt, China, Libya, Iran","Egypt, China, Iran","Egypt, China, Italy, India","Egypt, China"
12155,2140,11/24/2017,Cairo scam: Can illegal transplants done abroad attract Indian laws?,Times of India (Electronic Edition),1,"India, Egypt","India, Egypt","Egypt, India",Egypt
12157,2141,11/24/2017,"'Threatened, tricked', TN man flown to Cairo for job, but returns without kidney",The Times of India (TOI),1,India,India,"India, Egypt",Egypt
12198,2143,12/4/2017,Two sentenced in Costa Rica for organ trafficking,Agence France Presse - English,1,Costa Rica,Israel,"Costa Rica, Greece",Costa Rica
12436,2148,1/6/2018,Israeli mastermind behind organ trafficking ring is arrested in Cyprus,Newstex Blogs,1,"Russia, Turkey",Israel,"Israel, Kosovo, Russia",Kosovo
12684,2155,2/6/2018,"Husband, in-laws sell woman's kidney for not meeting dowry demand; 2 arrested",Hindustan Times,1,India,India,India,India
13681,2170,5/24/2018,Kosovo doctors jailed for organ trafficking,Agence France Presse - English,1,"Turkey, Russia, Moldova, Kazakhstan",Israel,"Kosovo, Turkey, Cyprus, Israel",Kosovo
15337,2202,11/5/2018,"Man falls for WhatsApp ad, tries to sell kidney for Dh800,000",Khaleej Times (United Arab Emirates),1,India,India,India,India
15981,2215,1/10/2019,Sell your kidney for an iPhone and now need lifelong dialysis,CE Noticias Financieras English,1,China,China,China,China
16055,2220,1/14/2019,He sold a kidney to buy an iPhone and now lives prostrate in a bed,CE Noticias Financieras English,1,China,China,China,China
16093,2221,1/20/2019,Indian woman arrested over kidney selling racket in Sri Lanka,Ada Derana,1,"India, Singapore","Singapore, Sri Lanka","Singapore, India","Singapore, Sri Lanka"
16739,2237,3/22/2019,IMA smells a rat in campaign against cadaver transplant,The Times of India (TOI),1,India,India,India,India
16826,2240,4/2/2019,"Global kidney racket busted, three arrested",Times of India (Electronic Edition),1,India,"China, Iran, Vietnam, Turkey, Egypt","India, Turkey, Egypt, Sri Lanka, China, Iran, Vietnam, Singapore","Turkey, Egypt"
17272,2249,5/7/2019,A harvest of kidneys in India,News Chronicle (Nigeria),1,India,America,India,India
17604,2254,6/13/2019,"Once victims, they are now kingpins Kidney racket",Hindustan Times Lucknow,1,India,India,India,India
17877,2263,7/12/2019,Vizag kidney racket reverberates in Karnataka High Court,Mirror Publications,1,India,India,India,India
18113,2264,8/5/2019,"2-year-old moves SC, seeks CBI probe into kidney rackets",The Times of India (TOI),1,India,India,India,India
18459,2276,9/13/2019,Bulgaria breaks up kidney trafficking ring,Agence France Presse - English,1,Bulgaria,"Bulgaria, Turkey","Bulgaria, Turkey",Turkey
18494,2280,9/19/2019,"BLOOD TRADE Iran 's legal organ market where sick brokers make ??45K a month preying on the poor - trading kidneys, livers and EYEBALLS",thesun.co.uk,1,Iran,Iran,Iran,Iran
19588,2310,2/19/2020,Pakistan cracks down on illegal organ trade,dpa international (Englischer Dienst),1,Pakistan,Pakistan,Pakistan,Pakistan
19773,2317,2/27/2020,This Day 25 years ago: More Kidney Thefts,Free Press Journal (India),1,India,"India, Bombay, India, India, Bombay, Bombay, India",India,India
20877,2335,7/18/2020,"Hyderabad police bust kidney racket, one held",Global English (Middle East and North Africa Financial Network),1,"India, India",India,"India, Sri Lanka, Turkey","Sri Lanka, Turkey"
20961,2338,8/2/2020,Delhi: Murderer doctor's 100 victims became crocodiles feed in UP canal,The Times of India (TOI),1,India,India,India,India
21428,2351,10/8/2020,He sells his kidney for an iPhone... now you need lifetime dialysis,CE Noticias Financieras English,1,China,China,China,China
23471,2391,7/14/2021,Organ trade racket unearthed in Dibrugarh,Assam Tribune (India),1,India,India,India,India
24287,2425,11/29/2021,"John Rwigambwa's widow charged with forgery, human trafficking",Legal Monitor Worldwide,1,"Uganda, India",India,India,India
25082,2457,4/5/2022,Police dismantle organ trafficking ring,CE Noticias Financieras English,1,Morocco,Turkey,"Morocco, Turkey",Turkey
25203,2462,4/25/2022,Selling kidneys now easier than finding jobs in Uganda,Daily Monitor,1,Uganda,India,"India, Uganda",India
29562,2464,5/27/2022,6 more kidneys sold through arrested agents: Crime branch,Hindustan Times Pune Edition,1,India,India,India,India
30348,2472,6/3/2022,"Why do kidney transplant rackets happen? Cheap, low risk, organ in most demand, say experts",Indian Express,1,India,India,India,India
30522,2511,9/4/2022,Odisha man who abandoned wife after selling her kidney arrested,Sambad English,1,India,India,India,India
30576,2514,9/14/2022,Goes to the hospital for stomach pain and discovers that her kidney was sold by her husband,CE Noticias Financieras English,1,India,India,India,India
30649,2515,9/28/2022,Court sets date to hear bail application by Nile Treasure Gate bosses,The Daily Monitor,1,"Uganda, Saudi Arabia",Saudi Arabia,"Uganda, Saudi Arabia",Saudi Arabia
3523,x106,5/24/2014,One more held in kidney sale case,The Pioneer (India),1,India,India,India,India
4935,x109,12/19/2014,Black market kidney broker is released from prison,The Associated Press,1,Israel,United States,"Israel, United States",United States
23513,x121,7/15/2021,"Organ racket gang busted in Assam, three arrested",The Times of India (TOI),1,India,India,India,India
7413,x17,8/4/2004,Pakistan 's lucrative kidney trade,CNN.com,1,Pakistan,Pakistan,Pakistan,Pakistan
18049,x18,12/20/2005,China selling executed inmates' organs,UPI (United Press International),1,China,Britain,China,China
18391,x19,1/7/2006,Bulgaria busts black market for kidneys,Agence France Presse - English,1,"Russia, Chechnya, Georgia",Israel,"Bulgaria, Israel",Bulgaria
23826,x21,5/15/2006,Buying organs is wrong,Windsor Star,1,Pakistan,Canada,"Canada, Pakistan",Pakistan
27862,x3,12/3/2002,Two men are arrested on charges of trafficking human organs,Associated Press International,1,"Moldova, Russia, Israel","Russia, Israel","Moldova, Turkey",Turkey
5752,x37,5/27/2007,DOCS HELD IN KIDNEY TRADE RAIDS,Daily Record and Sunday Mail,1,"Pakistan, Scotland",Scotland,"Pakistan, Scotland","Pakistan, Scotland"
6803,x38,7/23/2007,Israeli police arrest nine citizens suspected of trafficking in organs,Associated Press International,1,"Israel, Ukraine","Israel, China, Ukraine","Israel, Ukraine","Ukraine, Israel"
26060,x44,2/5/2010,Kidney used in deadly transplant in Peru obtained from poor donor PERU -TRANSPLANTS,EFE Newswire - Americas in Focus,1,"Peru, Mexico",Mexico,"Peru, Mexico","Peru, Mexico"
26387,x49,6/2/2010,KDC slaps jail terms for human traffickers,Himalayan Times,1,Nepal,India,India,India
26585,x50,9/16/2010,Netcare charged with illegal transplants,Cape Times (South Africa),1,Brazil,Israel,"South Africa, Israel, Brazil",South Africa
27955,x67,10/27/2011,NYC man pleads guilty to brokering kidney,Associated Press State & Local,1,Israel,"United States, Israel","Israel, United States",United States
28656,x82,5/8/2012,Shanghai Municipal Government: 20 Rescued in Transplant Raids,China Business News,1,China,"China, Indonesia","China, Indonesia","China, Indonesia"
29130,x86,8/11/2012,Chinese student sold kidney to buy iPad World Bulletin,The Daily Telegraph (London),1,China,China,China,China
246,x89,12/3/2012,Surgeon and six men jailed in 'kidney-for-iPad' case after teenager sells organs to buy Apple gadgets,MailOnline,1,China,China,China,China
3624,x9,12/5/2003,TWO MORE HELD OVER TRAFFICKING OF BODY PARTS,The Independent (United Kingdom),1,Brazil,Israel,"Brazil, Israel, South Africa",South Africa
